welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     134 : 45 : 179        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 46 : 180        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     135 : 46 : 181        moving average 500:   27.0% (max - stddev = 25.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     136 : 46 : 182        moving average 500:   27.2% (max - stddev = 25.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     137 : 46 : 183        moving average 500:   27.4% (max - stddev = 25.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 46 : 184        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 46 : 185        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 46 : 186        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 47 : 187        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     141 : 47 : 188        moving average 500:   28.2% (max - stddev = 26.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     142 : 47 : 189        moving average 500:   28.4% (max - stddev = 26.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 47 : 190        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 48 : 191        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     144 : 48 : 192        moving average 500:   28.8% (max - stddev = 26.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 48 : 193        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 49 : 194        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 50 : 195        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     146 : 50 : 196        moving average 500:   29.2% (max - stddev = 27.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 50 : 197        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 50 : 198        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     149 : 50 : 199        moving average 500:   29.8% (max - stddev = 27.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     150 : 50 : 200        moving average 500:   30.0% (max - stddev = 28.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 50 : 201        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 51 : 202        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 51 : 203        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 52 : 204        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 53 : 205        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 53 : 206        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 54 : 207        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 54 : 208        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 54 : 209        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 55 : 210        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 56 : 211        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 56 : 212        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 57 : 213        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 58 : 214        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 58 : 215        moving average 500:   31.4% (max - stddev = 29.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 58 : 216        moving average 500:   31.6% (max - stddev = 29.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 59 : 217        moving average 500:   31.6% (max - stddev = 29.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 59 : 218        moving average 500:   31.8% (max - stddev = 29.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 60 : 219        moving average 500:   31.8% (max - stddev = 29.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 61 : 220        moving average 500:   31.8% (max - stddev = 29.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 61 : 221        moving average 500:   32.0% (max - stddev = 30.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 61 : 222        moving average 500:   32.2% (max - stddev = 30.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 62 : 223        moving average 500:   32.2% (max - stddev = 30.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 62 : 224        moving average 500:   32.4% (max - stddev = 30.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 63 : 225        moving average 500:   32.4% (max - stddev = 30.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     163 : 63 : 226        moving average 500:   32.6% (max - stddev = 30.60%), std-dev of this is ~2%
