Loading: ./pub_stomper_repository/nn_pg_2_model.pt and ./pub_stomper_repository/nn_pg_2_optim.pt
Loading...
Loading: ./pub_stomper_repository/nn_pg_2_valuefunction.pt and ./pub_stomper_repository/nn_pg_2_valueoptim.pt
torch.Size([1, 200])
torch.Size([1])
Player 1 : Player 2 : Total     207 : 1 : 208        moving average 500:   41.4% (max - stddev = 39.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     208 : 1 : 209        moving average 500:   41.6% (max - stddev = 39.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     209 : 1 : 210        moving average 500:   41.8% (max - stddev = 39.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     210 : 1 : 211        moving average 500:   42.0% (max - stddev = 40.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     211 : 1 : 212        moving average 500:   42.2% (max - stddev = 40.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     212 : 1 : 213        moving average 500:   42.4% (max - stddev = 40.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     213 : 1 : 214        moving average 500:   42.6% (max - stddev = 40.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     214 : 1 : 215        moving average 500:   42.8% (max - stddev = 40.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 1 : 216        moving average 500:   43.0% (max - stddev = 41.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     216 : 1 : 217        moving average 500:   43.2% (max - stddev = 41.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     217 : 1 : 218        moving average 500:   43.4% (max - stddev = 41.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     218 : 1 : 219        moving average 500:   43.6% (max - stddev = 41.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     219 : 1 : 220        moving average 500:   43.8% (max - stddev = 41.80%), std-dev of this is ~2%
