welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     108 : 36 : 144        moving average 500:   21.6% (max - stddev = 19.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     109 : 36 : 145        moving average 500:   21.8% (max - stddev = 19.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 36 : 146        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 37 : 147        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 38 : 148        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 38 : 149        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 39 : 150        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 40 : 151        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 41 : 152        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 41 : 153        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 41 : 154        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     114 : 41 : 155        moving average 500:   22.8% (max - stddev = 20.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     115 : 41 : 156        moving average 500:   23.0% (max - stddev = 21.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 41 : 157        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     117 : 41 : 158        moving average 500:   23.4% (max - stddev = 21.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 41 : 159        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     119 : 41 : 160        moving average 500:   23.8% (max - stddev = 21.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 41 : 161        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 41 : 162        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 42 : 163        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     122 : 42 : 164        moving average 500:   24.4% (max - stddev = 22.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 42 : 165        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 42 : 166        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 42 : 167        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 42 : 168        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 43 : 169        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 44 : 170        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 44 : 171        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     128 : 44 : 172        moving average 500:   25.6% (max - stddev = 23.60%), std-dev of this is ~2%
